Percentage;Bruteforce ms;Recursive ms
2,64862948629486;1184947;368280
2,03339469394694;1184947;306331
1,59526973269733;1184947;256388
1,27946513465135;1184947;167818
1,03415192151922;1184947;129468
0,851748837488375;1184947;113385
0,708108381083811;1184947;99756
0,593951459514595;1184947;88342
0,505893118931189;1184947;78368
0,43380395803958;1184947;71448
0,372863308633086;1184947;62925
0,324411544115441;1184947;58855
0,28359803598036;1184947;52392
0,249684636846368;1184947;47702
0,220442184421844;1184947;44704
0,195995499955;1184947;40561
0,174631006310063;1184947;37392
0,15629598295983;1184947;34769
0,140785727857279;1184947;32147
0,1270003900039;1184947;30705
0,115040690406904;1184947;28507
0,104390883908839;1184947;27221
0,0951871118711187;1184947;24622
0,0869061090610906;1184947;23816
0,0797366173661737;1184947;22169
0,0730493704937049;1184947;20847
0,0672613326133261;1184947;20053
0,0623211632116321;1184947;18854
0,0573869738697387;1184947;18040
0,0532355123551236;1184947;16985
0,0495125951259513;1184947;16327
0,0459349193491935;1184947;15568
0,0428359883598836;1184947;14851
0,0399615596155962;1184947;14352
0,0373543935439354;1184947;13697
0,0348952289522895;1184947;13086
0,0327816278162782;1184947;12460
0,0307810478104781;1184947;11898
0,0288861288612886;1184947;11549
0,0272143321433214;1184947;11139
