Percentage;Bruteforce ms;Recursive ms
100;9395,73333;21240
99,99222922;9395,73333;20295
99,93575358;9395,73333;19515
99,74144814;9395,73333;20399
99,4450425;9395,73333;19450
98,84912491;9395,73333;21648
98,32213821;9395,73333;19552
97,35929393;9395,73333;21413
96,57743174;9395,73333;21033
95,67861186;9395,73333;19569
94,14858486;9395,73333;21781
93,18569457;9395,73333;19698
91,6479588;9395,73333;21852
90,21192519;9395,73333;20226
88,85734373;9395,73333;21065
87,04324832;9395,73333;19165
85,77177518;9395,73333;18955
84,3709731;9395,73333;20440
82,67738974;9395,73333;20427
80,85105711;9395,73333;19431
79,85435544;9395,73333;19587
77,92481648;9395,73333;19683
76,88987899;9395,73333;20830
75,5420382;9395,73333;18705
73,75707171;9395,73333;20700
71,72085809;9395,73333;21049
70,86861486;9395,73333;19172
69,43908991;9395,73333;21032
67,71958196;9395,73333;19817
66,82406441;9395,73333;20729
65,43877588;9395,73333;21354
63,75583958;9395,73333;19400
63,25484548;9395,73333;19875
61,83479348;9395,73333;17781
60,29570557;9395,73333;18256
59,31868587;9395,73333;18229
57,69832783;9395,73333;18638
57,60083008;9395,73333;18036
56,10746075;9395,73333;18224
55,08133413;9395,73333;18139
54,39561356;9395,73333;16950
52,85222322;9395,73333;18399
52,05092509;9395,73333;16941
51,30126013;9395,73333;17890
50,01335734;9395,73333;17199
48,88675468;9395,73333;17562
48,45046505;9395,73333;18040
47,52648865;9395,73333;16771
46,76085209;9395,73333;17249
45,74593459;9395,73333;16394
45,14664666;9395,73333;16785
43,91338934;9395,73333;17676
43,63746375;9395,73333;16806
42,56448045;9395,73333;17982
41,85825183;9395,73333;16875
40,90884688;9395,73333;16291
40,50327033;9395,73333;16503
39,97549355;9395,73333;17086
38,98655266;9395,73333;17349
38,57657166;9395,73333;16863
37,97352535;9395,73333;16552
37,15828383;9395,73333;17991
36,82910491;9395,73333;16582
35,70382638;9395,73333;16800
35,56074807;9395,73333;17247
35,56646665;9395,73333;15910
34,48643264;9395,73333;16006
33,92891489;9395,73333;16519
33,20128813;9395,73333;15825
32,75536354;9395,73333;15900
32,67734373;9395,73333;16581
31,68038604;9395,73333;15942
31,4860186;9395,73333;15954
31,21776178;9395,73333;16120
30,46952695;9395,73333;15852
29,90170417;9395,73333;17044
29,52824082;9395,73333;15902
29,10679068;9395,73333;16359
28,62909291;9395,73333;16170
28,19233323;9395,73333;16276
27,83970597;9395,73333;15442
27,35779378;9395,73333;15428
27,08564056;9395,73333;15731
26,60449645;9395,73333;16209
26,47131713;9395,73333;15531
25,85480348;9395,73333;15054
25,34605661;9395,73333;15031
25,08258226;9395,73333;15320
24,92983898;9395,73333;14643
24,60779878;9395,73333;15455
24,14519052;9395,73333;14247
23,78088409;9395,73333;14147
23,46574257;9395,73333;14811
23,12137614;9395,73333;13717
23,10125613;9395,73333;14303
22,65189919;9395,73333;14187
22,40706071;9395,73333;13558
22,23220922;9395,73333;13328
21,64057606;9395,73333;13784
