Percentage;Bruteforce ms;Recursive ms
21,4650105;9395,73333;13177
21,10555256;9395,73333;14151
20,85215322;9395,73333;12949
20,71276528;9395,73333;13433
20,39093909;9395,73333;12411
20,12838484;9395,73333;12228
19,71542954;9395,73333;12160
19,72970697;9395,73333;12259
19,70554055;9395,73333;12055
19,22894689;9395,73333;12249
18,39169117;9395,73333;12684
18,48709071;9395,73333;11791
18,04874887;9395,73333;11432
18,05408141;9395,73333;11431
17,98448045;9395,73333;11389
17,95146515;9395,73333;11544
17,48585859;9395,73333;11224
17,31620562;9395,73333;11125
17,11539954;9395,73333;10978
16,71569557;9395,73333;10873
16,74277628;9395,73333;10839
16,35714571;9395,73333;10848
16,24607061;9395,73333;10901
16,16965297;9395,73333;11513
15,7849565;9395,73333;10898
15,63443344;9395,73333;10332
15,38377438;9395,73333;10336
15,23626563;9395,73333;10316
15,11044904;9395,73333;10332
14,68050205;9395,73333;9999
14,71757976;9395,73333;10593
14,67349535;9395,73333;10597
14,48716672;9395,73333;10446
14,22934293;9395,73333;10473
14,13863586;9395,73333;9883
14,070013;9395,73333;9847
13,95622362;9395,73333;9888
13,57178718;9395,73333;9604
13,3759796;9395,73333;9696
13,44666067;9395,73333;9751
13,09683568;9395,73333;9422
13,0550295;9395,73333;9372
12,8069707;9395,73333;9392
12,73320532;9395,73333;9493
12,63262326;9395,73333;9194
12,44757276;9395,73333;9558
12,30109411;9395,73333;9415
12,19193319;9395,73333;9099
12,25979998;9395,73333;9470
11,90947895;9395,73333;9151
11,87409941;9395,73333;8727
11,79882188;9395,73333;8633
11,80281228;9395,73333;9591
11,58637464;9395,73333;9345
11,29765177;9395,73333;9071
11,20945695;9395,73333;8472
11,10681468;9395,73333;8792
11,01530353;9395,73333;8810
10,90677268;9395,73333;8697
10,76406041;9395,73333;8162
10,64855486;9395,73333;8537
10,57080508;9395,73333;8480
10,49319132;9395,73333;8298
10,21751775;9395,73333;7999
10,29738974;9395,73333;8053
10,18940094;9395,73333;8641
10,02785479;9395,73333;7994
9,946268627;9395,73333;8240
9,84439644;9395,73333;7798
9,743518352;9395,73333;7992
9,673717372;9395,73333;7816
9,601850185;9395,73333;8082
9,360210021;9395,73333;7991
9,37320132;9395,73333;7782
9,288956896;9395,73333;7745
9,136161616;9395,73333;7748
9,148250825;9395,73333;7678
8,974543454;9395,73333;7644
8,934741474;9395,73333;6199
8,98229823;9395,73333;5081
8,713791379;9395,73333;5016
8,574855486;9395,73333;4996
8,616963696;9395,73333;5020
8,595811581;9395,73333;4948
8,456111611;9395,73333;4900
8,353151315;9395,73333;4808
8,270001;9395,73333;4735
8,16710071;9395,73333;4767
8,210753075;9395,73333;4958
8,10029603;9395,73333;4795
7,90920092;9395,73333;4606
7,929008901;9395,73333;4841
7,805878588;9395,73333;4704
7,77759576;9395,73333;4641
7,673809381;9395,73333;4705
7,629984998;9395,73333;4491
7,54370037;9395,73333;4649
7,452309231;9395,73333;4553
7,480456046;9395,73333;4626
7,461454145;9395,73333;4839
7,335871587;9395,73333;4701
7,218247825;9395,73333;4629
7,246374637;9395,73333;4544
7,123540354;9395,73333;4494
6,997309731;9395,73333;4433
7,001558156;9395,73333;4405
6,892631263;9395,73333;4280
6,858223822;9395,73333;4384
6,850385039;9395,73333;4241
6,754055406;9395,73333;4415
6,678889889;9395,73333;4274
6,576087609;9395,73333;4272
6,525044504;9395,73333;4154
6,575681568;9395,73333;4238
6,470667067;9395,73333;4268
6,326648665;9395,73333;4223
6,355765577;9395,73333;4187
6,31380338;9395,73333;4154
6,306790679;9395,73333;4301
6,224280428;9395,73333;4067
6,207554755;9395,73333;4044
6,119945995;9395,73333;4114
6,062314231;9395,73333;4103
6,017443744;9395,73333;4247
5,981386139;9395,73333;4004
5,925820582;9395,73333;4072
5,839067907;9395,73333;3986
5,807968797;9395,73333;4513
5,765384538;9395,73333;3809
5,666086609;9395,73333;4074
5,659769977;9395,73333;3845
5,660416042;9395,73333;4041
5,547672767;9395,73333;4069
5,526090609;9395,73333;3954
5,460254025;9395,73333;3926
5,466532653;9395,73333;3929
5,368322832;9395,73333;3733
5,426034603;9395,73333;3834
5,325546555;9395,73333;3767
5,266042604;9395,73333;3754
5,217651765;9395,73333;3741
5,198521852;9395,73333;3723
5,172967297;9395,73333;3886
5,0730013;9395,73333;3637
5,07229923;9395,73333;3776
5,062910291;9395,73333;3619
5,033811381;9395,73333;4010
4,952747275;9395,73333;3575
4,915619562;9395,73333;3614
4,884720472;9395,73333;3484
4,838871887;9395,73333;3660
4,84360036;9395,73333;3469
4,834179418;9395,73333;3548
4,70889889;9395,73333;3620
4,684392439;9395,73333;3374
4,639771977;9395,73333;3425
4,603568357;9395,73333;3367
4,607326733;9395,73333;3488
4,543188319;9395,73333;3502
4,539589959;9395,73333;3379
4,51549955;9395,73333;3390
4,4440004;9395,73333;3539
4,429252925;9395,73333;3400
4,390037004;9395,73333;3356
4,383820382;9395,73333;3282
4,296185619;9395,73333;3277
4,299119912;9395,73333;3240
4,272605261;9395,73333;3318
4,225118512;9395,73333;3184
4,207752775;9395,73333;3241
4,158229823;9395,73333;3208
4,164676468;9395,73333;3226
4,110737074;9395,73333;3135
4,096831683;9395,73333;3220
4,075675568;9395,73333;3136
4,000080008;9395,73333;3061
4,028326833;9395,73333;3196
3,975735574;9395,73333;3131
3,943958396;9395,73333;3076
3,954371437;9395,73333;3134
3,863818382;9395,73333;3228
3,850475048;9395,73333;3135
3,866242624;9395,73333;3058
3,818547855;9395,73333;3041
3,783518352;9395,73333;3076
3,766626663;9395,73333;2975
3,715445545;9395,73333;2951
3,74249825;9395,73333;3079
3,686280628;9395,73333;2901
3,624488449;9395,73333;3011
3,631253125;9395,73333;2960
3,622566257;9395,73333;2911
3,60689669;9395,73333;2943
3,572871287;9395,73333;2874
3,555267527;9395,73333;2836
3,498909891;9395,73333;2835
3,49129713;9395,73333;2835
3,461710171;9395,73333;2728
3,437269727;9395,73333;2875
3,396721672;9395,73333;2773
3,421656166;9395,73333;2879
3,366512651;9395,73333;2817
3,35980198;9395,73333;2747
3,353581358;9395,73333;2858
3,289352935;9395,73333;2691
3,28209621;9395,73333;2856
3,30450445;9395,73333;2750
3,24130413;9395,73333;2808
3,221370137;9395,73333;2667
3,15779778;9395,73333;2752
3,168292829;9395,73333;2561
3,125888589;9395,73333;2589
3,109912991;9395,73333;2667
3,129908991;9395,73333;2673
3,096607661;9395,73333;2580
3,082942294;9395,73333;2728
3,074055406;9395,73333;2642
3,050691069;9395,73333;2559
3,006540654;9395,73333;2461
2,999431943;9395,73333;2491
2,993409341;9395,73333;2543
2,93569957;9395,73333;2523
2,942864286;9395,73333;2599
2,923824382;9395,73333;2528
2,932383238;9395,73333;2610
2,908782878;9395,73333;2456
2,875683568;9395,73333;2577
2,84430243;9395,73333;2409
2,833529353;9395,73333;2547
2,822044204;9395,73333;2446
2,789852985;9395,73333;2443
2,754441444;9395,73333;2492
2,758435844;9395,73333;2514
2,739855986;9395,73333;2454
2,72010001;9395,73333;2447
2,700964096;9395,73333;2345
2,680170017;9395,73333;2407
2,65439544;9395,73333;2319
2,651177118;9395,73333;2320
2,655927593;9395,73333;2372
2,623216322;9395,73333;2395
2,627424742;9395,73333;2364
2,579175918;9395,73333;2373
2,569654965;9395,73333;2336
2,579187919;9395,73333;2284
2,55609961;9395,73333;2281
2,559537954;9395,73333;2291
2,518579858;9395,73333;2341
2,479483948;9395,73333;2307
2,498415842;9395,73333;2439
2,461368137;9395,73333;2456
2,470543054;9395,73333;2189
2,444548455;9395,73333;2211
2,427574757;9395,73333;2119
2,41130113;9395,73333;2265
2,409318932;9395,73333;2187
2,376781678;9395,73333;2216
2,388454845;9395,73333;2178
2,365624562;9395,73333;2111
2,36920092;9395,73333;2217
2,324830483;9395,73333;2167
2,296543654;9395,73333;2086
2,305210521;9395,73333;2162
2,287944794;9395,73333;2105
2,285916592;9395,73333;2130
2,254391439;9395,73333;2037
2,245678568;9395,73333;2094
2,226250625;9395,73333;2093
2,221866187;9395,73333;2053
2,205562556;9395,73333;2063
2,195955596;9395,73333;2044
2,176239624;9395,73333;2104
2,178157816;9395,73333;2098
2,155465547;9395,73333;2018
2,151333133;9395,73333;2107
2,153357336;9395,73333;2112
2,12689869;9395,73333;1999
2,134051405;9395,73333;2052
2,114523452;9395,73333;1960
2,100214021;9395,73333;1941
2,084744474;9395,73333;2025
2,070525053;9395,73333;2088
2,057275728;9395,73333;2032
2,04989899;9395,73333;1986
2,049272927;9395,73333;2050
2,037981798;9395,73333;2036
2,012025203;9395,73333;1939
2,01209921;9395,73333;1888
1,983426343;9395,73333;1856
1,984924492;9395,73333;1973
1,981594159;9395,73333;1944
1,943556356;9395,73333;1965
1,970981098;9395,73333;1945
1,929348935;9395,73333;1870
1,927170717;9395,73333;1963
1,903270327;9395,73333;1924
1,888940894;9395,73333;1924
1,894035404;9395,73333;1818
1,879979998;9395,73333;1868
1,878747875;9395,73333;1876
1,873781378;9395,73333;2034
1,847414741;9395,73333;1922
1,856479648;9395,73333;1863
1,852509251;9395,73333;1925
1,829334933;9395,73333;1873
1,812639264;9395,73333;1844
1,800820082;9395,73333;1900
1,793845385;9395,73333;1831
1,780716072;9395,73333;1799
1,778343834;9395,73333;1817
1,760276028;9395,73333;1749
1,7470027;9395,73333;1737
1,742424242;9395,73333;1742
1,743958396;9395,73333;1836
1,733411341;9395,73333;1736
1,707070707;9395,73333;1728
1,732975298;9395,73333;1822
1,70779678;9395,73333;1821
1,68689669;9395,73333;1791
1,694359436;9395,73333;1833
1,678681868;9395,73333;1751
1,668316832;9395,73333;1679
1,645928593;9395,73333;1746
1,64060406;9395,73333;1762
1,640150015;9395,73333;1690
1,638417842;9395,73333;1711
1,614155416;9395,73333;1642
1,617469747;9395,73333;1777
1,622828283;9395,73333;1968
1,597925793;9395,73333;1644
1,591889189;9395,73333;1738
1,582508251;9395,73333;1642
1,57789979;9395,73333;1642
1,573447345;9395,73333;1744
1,555243524;9395,73333;1655
1,550743074;9395,73333;1635
1,537565757;9395,73333;1602
1,527740774;9395,73333;1631
1,529856986;9395,73333;1671
1,524358436;9395,73333;1694
1,52269827;9395,73333;1654
1,525684568;9395,73333;1765
1,500052005;9395,73333;1650
1,496443644;9395,73333;1602
1,493761376;9395,73333;1664
1,478863886;9395,73333;1739
1,467290729;9395,73333;1940
1,460250025;9395,73333;2083
1,458561856;9395,73333;1770
1,452471247;9395,73333;1606
1,442318232;9395,73333;1601
1,448420842;9395,73333;1559
1,426228623;9395,73333;1577
1,421976198;9395,73333;1581
1,415493549;9395,73333;1601
1,402886289;9395,73333;1588
1,39919992;9395,73333;1605
1,399313931;9395,73333;1573
1,384972497;9395,73333;1563
1,37770377;9395,73333;1605
1,376089609;9395,73333;1491
1,359367937;9395,73333;1537
1,367132713;9395,73333;1516
1,348436844;9395,73333;1637
1,350171017;9395,73333;1583
1,334805481;9395,73333;1503
1,335609561;9395,73333;1469
1,329564956;9395,73333;1457
1,314569457;9395,73333;1513
1,31219522;9395,73333;1511
1,302412241;9395,73333;1512
1,297207721;9395,73333;1469
1,294335434;9395,73333;1487
1,280752075;9395,73333;1429
1,277517752;9395,73333;1428
1,279823982;9395,73333;1419
1,2670007;9395,73333;1440
1,264364436;9395,73333;1457
1,252667267;9395,73333;1485
1,263480348;9395,73333;1428
1,25050105;9395,73333;1461
1,241062106;9395,73333;1410
1,22320232;9395,73333;1411
1,233849385;9395,73333;1387
1,222278228;9395,73333;1392
1,215447545;9395,73333;1404
1,215587559;9395,73333;1379
1,213083308;9395,73333;1411
1,201574157;9395,73333;1380
1,201276128;9395,73333;1386
1,18719872;9395,73333;1428
1,20070207;9395,73333;1360
1,179083908;9395,73333;1370
1,173725373;9395,73333;1375
1,164292429;9395,73333;1377
1,154569457;9395,73333;1330
1,165578558;9395,73333;1333
1,153555356;9395,73333;1357
1,154257426;9395,73333;1354
1,148318832;9395,73333;1351
1,139335934;9395,73333;1354
