Bruteforce ms;Recursive ms;Percentage
125;271;100
117;180;99,9915915915916
113;177;99,9477477477477
114;207;99,7085085085085
118;180;99,4600600600601
126;174;98,9911911911912
123;214;98,2754754754755
118;323;97,6248248248248
124;170;96,3885885885886
104;200;95,184984984985
104;294;94,0950950950951
128;174;92,4928928928929
119;189;91,2534534534535
111;175;90,1883883883884
107;218;89,3911911911912
119;220;88,2172172172172
110;312;85,4322322322322
100;202;84,635035035035
99;228;82,9267267267267
100;221;79,9641641641642
117;122;79,9299299299299
107;228;78,1081081081081
217;202;76,6288288288288
102;240;74,1265265265265
101;152;73,7631631631632
102;229;71,6026026026026
107;163;70,7009009009009
111;162;68,3359359359359
106;194;67,5121121121121
101;168;66,7473473473473
100;244;64,9715715715716
142;170;64,3823823823824
101;266;62,6790790790791
100;214;61,7411411411411
105;161;60,2918918918919
101;184;59,1875875875876
101;148;58,4002002002002
101;265;56,0522522522523
104;212;55,7201201201201
103;188;56,6354354354354
99;148;54,6238238238238
103;165;54,1703703703704
98;172;51,5281281281281
98;184;50,1193193193193
101;163;51,0306306306306
99;181;50,5463463463463
107;129;47,2530530530531
102;163;48,018018018018
97;188;45,3837837837838
106;169;46,5925925925926
97;155;44,1727727727728
99;166;44,4944944944945
101;161;43,5495495495495
99;149;40,768968968969
99;142;43,1253253253253
99;185;41,5367367367367
97;147;39,6196196196196
106;136;39,3295295295295
95;155;37,1727727727728
99;178;38,8490490490491
97;145;38,7405405405405
99;122;37,6406406406406
97;152;36,1745745745746
97;143;37,7753753753754
97;150;36,213013013013
98;168;33,8136136136136
103;123;35,3497497497497
96;169;34,225025025025
96;139;33,0716716716717
97;144;32,2492492492492
104;131;32,625025025025
97;163;32,0162162162162
100;133;32,0940940940941
98;136;32,6366366366366
99;137;30,1683683683684
97;157;29,7803803803804
97;126;28,8072072072072
94;151;28,8154154154154
95;118;28,4846846846847
96;124;28,3743743743744
95;151;27,7197197197197
97;135;27,6018018018018
108;195;26,8528528528529
100;144;26,561961961962
96;121;26,3105105105105
94;152;25,7695695695696
92;114;24,9229229229229
95;137;25,1397397397397
94;121;24,6434434434434
93;118;25,6142142142142
92;152;23,9677677677678
100;142;23,7197197197197
92;116;23,7437437437437
95;142;23,0594594594595
93;116;22,8372372372372
92;105;23,2890890890891
91;127;21,6806806806807
92;100;21,8510510510511
101;104;21,4936936936937
93;112;21,3815815815816
97;107;20,8938938938939
92;120;20,6846846846847
93;95;20,7277277277277
91;123;20,6458458458458
92;116;20,3925925925926
91;93;19,9033033033033
94;110;20,2356356356356
96;116;19,3439439439439
92;114;19,213013013013
92;93;19,3895895895896
111;110;18,356956956957
91;82;18,3377377377377
91;105;18,6642642642643
93;89;18,018018018018
91;106;18,6886886886887
92;100;17,6456456456456
94;95;17,9093093093093
96;111;16,9817817817818
91;82;17,1041041041041
90;124;16,8226226226226
91;78;16,0416416416416
91;97;15,9995995995996
91;111;15,8936936936937
92;90;15,9169169169169
89;113;15,7605605605606
93;96;15,3563563563564
91;86;15,7211211211211
90;102;14,8344344344344
90;77;15,1085085085085
93;78;14,7065065065065
148;258;14,4204204204204
328;262;15,0368368368368
331;301;14,3277277277277
330;364;14,1865865865866
420;821;14,3741741741742
428;293;13,8712712712713
281;189;13,9163163163163
288;246;13,2800800800801
288;237;13,3823823823824
215;194;13,2492492492492
218;270;13,1431431431431
203;137;12,8058058058058
197;169;13,4102102102102
196;191;12,9461461461461
170;137;12,4218218218218
173;128;12,4216216216216
204;116;11,9275275275275
160;118;12,183983983984
163;115;12,0224224224224
163;209;11,8214214214214
171;132;11,9239239239239
192;101;11,4674674674675
151;103;11,2448448448448
148;103;11,1421421421421
142;271;11,2940940940941
145;144;11,0892892892893
192;103;11,195995995996
137;103;11,2102102102102
140;96;10,6016016016016
138;86;10,4976976976977
266;98;10,5203203203203
138;109;9,95895895895896
146;204;10,171971971972
148;108;10,0554554554555
132;87;9,87867867867868
134;89;10,1079079079079
134;177;9,78518518518518
154;85;9,7033033033033
135;81;9,76476476476476
290;135;9,88968968968969
241;94;9,77757757757758
133;103;9,83963963963964
134;86;9,32252252252252
134;87;9,23183183183183
132;174;9,47567567567568
168;86;9,23363363363363
135;93;8,97317317317317
136;86;8,91171171171171
132;84;8,80740740740741
281;110;8,804004004004
151;82;8,45645645645646
133;89;8,43923923923924
302;100;8,54914914914915
132;82;8,27347347347347
132;79;8,04304304304304
209;81;8,1029029029029
133;87;8,38458458458459
132;96;8,06846846846847
190;80;8,07087087087087
132;78;7,88648648648649
134;79;8,08768768768769
133;103;7,91471471471471
134;74;7,68668668668669
229;120;7,56716716716717
137;76;7,84664664664665
133;74;7,41181181181181
132;81;7,93253253253253
134;76;7,52352352352352
134;77;7,58358358358358
133;75;7,35355355355355
